Posição;Nome;Estado;"Pública ou Privada";"Posição em avaliação do Mercado";"Nota em avaliação do Mercado";"Posição em qualidade de ensino";"Nota em qualidade de ensino";"Posição em Instrução dos Professores";"Nota em Instrução dos Professores";"Posição Nota dos concluintes";"Nota dos concluintes";"Posição em Tempo de Dedicação dos Professores";"Nota em Tempo de Dedicação dos Professores";"Posição no MEC";"Nota no MEC"
1;"Universidade de São Paulo (USP)";SP;Pública;1;36;2;59.84;3;7.84;;;1;8;1;44
2;"Universidade Federal do Rio de Janeiro (UFRJ)";RJ;Pública;2;34.8;3;59.19;5;7.68;6;3.7;1;8;3;39.81
3;"Pontifícia Universidade Católica de São Paulo (PUCSP)";SP;Privada;2;34.8;4;55.22;10;7.29;32;2.12;26;6;3;39.81
4;"Universidade Federal do Rio Grande do Sul (UFRGS)";RS;Pública;5;31.2;4;55.22;6;7.6;1;4;1;8;5;35.62
5;"Universidade de Brasília (UNB)";DF;Pública;11;24;1;60.84;13;7.05;3;3.88;1;8;2;41.91
6;"Universidade Federal de Minas Gerais (UFMG)";MG;Pública;2;34.8;6;47.19;4;7.76;;;1;8;7;31.43
7;"Pontifícia Universidade Católica do Rio de Janeiro (PUC-RIO)";RJ;Privada;5;31.2;7;46.76;20;6.5;5;3.76;90;0.88;5;35.62
8;"Pontifícia Universidade Católica de Minas Gerais (PUC MINAS)";MG;Privada;5;31.2;9;44.98;27;5.94;14;3.21;46;4.4;7;31.43
9;"Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP)";SP;Pública;11;24;8;45.06;7;7.53;64;0.18;27;5.92;7;31.43
10;"Universidade Federal de Santa Catarina (UFSC)";SC;Pública;11;24;10;43.93;14;6.97;4;3.82;1;8;10;25.14
11;"Universidade Federal Fluminense (UFF)";RJ;Pública;11;24;11;43.62;8;7.45;17;3.03;1;8;10;25.14
12;"Universidade Federal de Uberlândia (UFU)";MG;Pública;11;24;12;41.65;17;6.73;2;3.94;28;5.84;10;25.14
13;"Universidade do Vale do Itajaí (UNIVALI)";SC;Privada;11;24;14;35.81;72;2.38;24;2.61;30;5.68;10;25.14
14;"Centro Universitário das Faculdades Metropolitanas Unidas (FMU)";SP;Privada;11;24;15;34.63;67;2.77;34;2;42;4.72;10;25.14
15;"Universidade Federal de Santa Maria (UFSM)";RS;Pública;11;24;19;21.37;39;4.99;;;1;8;18;8.38
16;"Universidade Paulista (UNIP)";SP;Privada;5;31.2;39;10.82;76;2.06;7;3.64;37;5.12;;
17;"Universidade do Vale do Rio dos Sinos (UNISINOS)";RS;Privada;5;31.2;40;10.75;33;5.47;;;35;5.28;0;0
18;"Universidade Federal de Sergipe (UFS)";SE;Pública;11;24;20;16.95;31;5.62;12;3.33;1;8;0;0
19;"Faculdade de Economia da Fundação Armando Alvares Penteado (FEC-FAAP)";SP;Privada;11;24;25;15.51;36;5.23;37;1.82;100;0.08;18;8.38
20;"Universidade Federal de Goiás (UFG)";GO;Pública;11;24;26;15.37;9;7.37;;;1;8;;
21;"Faculdades Integradas Rio Branco (FRB)";SP;Privada;;;13;37.65;19;6.57;31;2.18;54;3.76;10;25.14
22;"Pontifícia Universidade Católica de Goiás (PUC GOIÁS)";GO;Privada;5;31.2;79;5.56;69;2.61;46;1.27;80;1.68;;
23;"Universidade Anhembi Morumbi (UAM)";SP;Privada;11;24;32;12.71;16;6.81;29;2.3;56;3.6;0;0
24;"Universidade Federal da Paraíba (UFPB)";PB;Pública;11;24;33;12.59;44;4.59;;;1;8;0;0
25;"Faculdade de Ciências Econômicas (FACAMP)";SP;Privada;11;24;34;12.41;51;4.04;20;2.85;32;5.52;0;0
26;"Universidade de Santa Cruz do Sul (UNISC)";RS;Privada;11;24;41;10.74;41;4.83;13;3.27;68;2.64;;
27;"Escola Superior de Propaganda e Marketing (ESPM)";SP;Privada;0;0;16;33.45;47;4.36;56;0.67;60;3.28;10;25.14
28;"Universidade Estácio de Sá (UNESA)";RJ;Privada;11;24;56;9.35;54;3.8;52;0.91;43;4.64;;
29;"Faculdade de Economia e Finanças Ibmec (FACULDADES IBMEC)";RJ;Privada;0;0;17;31.96;24;6.18;;;93;0.64;10;25.14
30;"Universidade do Sul de Santa Catarina (UNISUL)";SC;Privada;11;24;77;6.22;82;1.58;38;1.76;65;2.88;;
31;"Centro Universitário do Norte (UNINORTE)";AM;Privada;11;24;91;3.99;90;0.95;;;63;3.04;;
32;"Universidade do Sagrado Coração (USC)";SP;Privada;11;24;96;3.27;88;1.11;;;74;2.16;;
33;"Centro Universitário Newton Paiva (NEWTON PAIVA)";MG;Privada;11;24;98;3.19;93;0.71;;;70;2.48;;
34;"Universidade Federal de São Paulo (UNIFESP)";SP;Pública;0;0;18;24.3;2;7.92;;;1;8;18;8.38
35;"Fundação Universidade Federal do Pampa (UNIPAMPA)";RS;Pública;;;21;16.59;28;5.86;22;2.73;1;8;0;0
36;"Universidade Estadual da Paraíba (UEPB)";PB;Pública;;;22;16.48;21;6.42;33;2.06;1;8;;
37;"Fundação Universidade Federal do Abc (UFABC)";SP;Pública;;;23;16;1;8;;;1;8;0;0
38;"Centro Universitário de Brasília (UNICEUB)";DF;Privada;0;0;24;15.93;49;4.2;25;2.55;91;0.8;18;8.38
39;"Universidade Federal Rural do Rio de Janeiro (UFRRJ)";RJ;Pública;0;0;27;15.21;11;7.21;;;1;8;;
40;"Universidade Federal da Integração Latino-Americana (UNILA)";PR;Pública;;;28;15.13;12;7.13;;;1;8;;
41;"Universidade Federal de Roraima (UFRR)";RR;Pública;;;29;14.34;22;6.34;;;1;8;0;0
42;"Universidade Federal de Pelotas (UFPEL)";RS;Pública;;;30;13.78;29;5.78;;;1;8;;
43;"Faculdades Integradas Rio Branco Granja Vianna (FRB-GV)";SP;Privada;0;0;31;13.7;30;5.7;;;1;8;;
44;"Fundação Universidade Federal da Grande Dourados (UFGD)";MS;Pública;;;35;12.08;60;3.33;15;3.15;31;5.6;0;0
45;"Universidade Católica de Brasília (UCB)";DF;Privada;0;0;36;11.62;26;6.02;42;1.52;50;4.08;;
46;"Faculdade Anglo-Americano de Caxias do Sul (FAACS)";RS;Privada;;;37;11.54;81;1.66;36;1.88;1;8;;
47;"Centro Universitário Fecap (FECAP)";SP;Privada;;;38;11.2;25;6.1;8;3.58;82;1.52;0;0
48;"Escola Superior de Propaganda e Marketing de Porto Alegre (ESPM - POA)";RS;Privada;0;0;42;10.58;23;6.26;30;2.24;75;2.08;;
49;"Universidade Católica de Santos (UNISANTOS)";SP;Privada;;;43;10.51;37;5.15;;;34;5.36;;
50;"Centro Universitário Univates (UNIVATES)";RS;Privada;0;0;44;10.48;62;3.17;11;3.39;52;3.92;;
51;"Faculdade La Salle";AM;Privada;;;45;10.25;95;0.55;39;1.7;1;8;;
52;"Centro Universitário Internacional (UNINTER)";PR;Privada;;;46;10.22;52;3.96;43;1.46;41;4.8;;
53;"Faculdade Ibmec (IBMEC)";MG;Privada;;;47;10.19;43;4.67;9;3.52;76;2;;
54;"Centro Universitário La Salle do Rio de Janeiro (UNILASALLE/RJ)";RJ;Privada;;;48;10.13;35;5.31;27;2.42;71;2.4;;
55;"Universidade Cândido Mendes (UCAM)";RJ;Privada;0;0;49;10.1;32;5.55;58;0.55;51;4;0;0
56;"Faculdade de Ciências Sociais Aplicadas Ibmec (FACULDADES IBMEC)";RJ;Privada;0;0;50;10.02;18;6.65;18;2.97;96;0.4;;
57;"Faculdade Anglo-Americano (FAA)";PR;Privada;;;51;9.91;71;2.46;26;2.49;39;4.96;;
58;"Centro Universitário do Distrito Federal (UDF)";DF;Privada;;;52;9.86;42;4.75;54;0.79;47;4.32;0;0
59;"Centro Universitário Curitiba (UNICURITIBA)";PR;Privada;0;0;53;9.83;46;4.44;48;1.15;48;4.24;;
60;"Universidade Vila Velha (UVV)";ES;Privada;0;0;54;9.45;65;2.93;40;1.64;40;4.88;0;0
61;"Centro Universitário Metodista Bennett (BENNETT)";RJ;Privada;;;55;9.4;34;5.39;59;0.49;57;3.52;;
62;"Centro Universitário La Salle (UNILASALLE)";RS;Privada;;;57;9.27;56;3.64;19;2.91;67;2.72;;
63;"Faculdade Anglo-Americana de Bagé (FAABA)";RS;Privada;;;58;9.27;86;1.27;;;1;8;;
64;"Universidade Federal do Amapá (UNIFAP)";AP;Pública;;;59;9.19;87;1.19;;;1;8;0;0
65;"Centro Universitário do Instituto de Educação Superior de Brasília (IESB)";DF;Privada;0;0;60;9.18;58;3.49;47;1.21;45;4.48;0;0
66;"Universidade Tuiuti do Paraná (UTP)";PR;Privada;0;0;61;8.59;63;3.09;66;0.06;33;5.44;;
67;"Centro Universitário Jorge Amado (UNIJORGE)";BA;Privada;0;0;62;8.33;70;2.54;23;2.67;62;3.12;0;0
68;"Faculdade Michelangelo (MICHELANGELO)";DF;Privada;;;63;8.32;98;0.32;;;1;8;;
69;"Centro Universitário de Belo Horizonte (UNI-BH)";MG;Privada;;;64;8.25;68;2.69;28;2.36;61;3.2;;
70;"Centro Universitário Moura Lacerda (CUML)";SP;Privada;;;65;8.11;57;3.56;21;2.79;79;1.76;;
71;"Universidade de Ribeirão Preto (UNAERP)";SP;Privada;;;66;7.99;79;1.82;51;0.97;36;5.2;0;0
72;"Faculdade Esamc Uberlândia (ESAMC)";MG;Privada;0;0;67;7.47;53;3.88;50;1.03;69;2.56;;
73;"Universidade da Amazônia (UNAMA)";PA;Privada;0;0;68;7.45;85;1.35;35;1.94;49;4.16;;
74;"Universidade de Sorocaba (UNISO)";SP;Privada;;;69;7.45;15;6.89;;;94;0.56;;
75;"Faculdade Estácio do Recife (FIR)";PE;Privada;0;0;70;7.26;66;2.85;55;0.73;55;3.68;;
76;"Universidade de Mogi das Cruzes (UMC)";SP;Privada;0;0;71;7.02;77;1.98;;;38;5.04;;
77;"Faculdade Oboé II";CE;Privada;;;72;6.63;91;0.87;;;29;5.76;;
78;"Centro Universitário Anhanguera de Campo Grande";MS;Privada;0;0;73;6.58;94;0.63;44;1.39;44;4.56;;
79;"Centro Universitário Belas Artes de São Paulo (FEBASP)";SP;Privada;;;74;6.47;40;4.91;61;0.36;86;1.2;;
80;"Centro Universitário Ritter dos Reis (UNIRITTER)";RS;Privada;0;0;75;6.43;38;5.07;;;84;1.36;;
81;"Escola Superior de Propaganda e Marketing do Rio de Janeiro (ESPM)";RJ;Privada;0;0;76;6.26;55;3.72;62;0.3;73;2.24;0;0
82;"Centro Universitário Fundação Santo André (CUFSA)";SP;Pública;0;0;78;6.18;48;4.28;41;1.58;97;0.32;;
83;"Faculdade América Latina";RS;Privada;;;80;5.47;78;1.9;16;3.09;95;0.48;;
84;"Universidade Potiguar (UNP)";RN;Privada;;;81;5.44;74;2.22;60;0.42;66;2.8;;
85;"Universidade Metodista de Piracicaba (UNIMEP)";SP;Privada;0;0;82;5.24;45;4.52;;;92;0.72;;
86;"Faculdade Asces (ASCES)";PE;Privada;;;83;5.17;61;3.25;;;77;1.92;;
87;"Faculdade Damas da Instrução Cristã (FADIC)";PE;Privada;;;84;4.97;50;4.12;57;0.61;98;0.24;;
88;"Universidade Veiga de Almeida (UVA)";RJ;Privada;;;85;4.69;59;3.41;;;85;1.28;;
89;"Instituto de Ensino Superior de Bauru (IESB)";SP;Privada;;;86;4.39;84;1.43;;;64;2.96;;
90;"Faculdade Esamc Sorocaba (ESAMC)";SP;Privada;;;87;4.13;96;0.48;45;1.33;72;2.32;;
91;"Faculdade Santa Marcelina (FASM)";SP;Privada;;;88;4.1;64;3.01;49;1.09;;;;
92;"Faculdade Esamc Santos (ESAMC)";SP;Privada;;;89;4.08;99;0.24;;;53;3.84;;
93;"Escola Superior de Administração, Marketing e Comunicação de Piracicaba (ESAMC PIRACICABA)";SP;Privada;;;90;4.02;97;0.4;10;3.46;99;0.16;;
94;"Centro Universitário Senac (SENACSP)";SP;Privada;;;92;3.9;73;2.3;;;81;1.6;0;0
95;"Centro Universitário Lusíada (UNILUS)";SP;Privada;;;93;3.7;80;1.74;65;0.12;78;1.84;;
96;"Centro Universitário Anhanguera de São Paulo";SP;Privada;0;0;94;3.68;100;0.16;;;57;3.52;;
97;"Faculdade Anhangüera de Dourados (FAD)";MS;Privada;;;95;3.6;101;0.08;;;57;3.52;;
98;"Centro Universitário Hermínio da Silveira (UNI IBMR)";RJ;Privada;;;97;3.26;75;2.14;;;87;1.12;;
99;"Faculdade Esamc Campinas (ESAMC)";SP;Privada;0;0;99;3.08;92;0.79;53;0.85;83;1.44;;
100;"Universidade Católica de Petrópolis (UCP)";RJ;Privada;;;100;2.55;83;1.51;;;88;1.04;;
101;"Faculdade do Instituto Nacional de Pós-Graduação de São José dos Campos (FACULDADE INPG - SJC)";SP;Privada;;;101;1.99;89;1.03;;;89;0.96;;
102;"Faculdade Anglo-Americano de Passo Fundo (FAAPF)";RS;Privada;;;102;0.24;;;63;0.24;;;0;0
